Carpaccio to danie kuchni:;Włoskiej;Francuskiej;Portugalskiej;Hiszpańskiej;
Czego nie ma w sosie bearnaise?;Oliwy z oliwek;Żółtek jaj;Masła;Octu;
Jak nazywa się danie z miesa mielonego, fasoli i chilli?;Chilli con carne;Carbonara;Kebab;Bolognese;
Jaki składnik nie jest zwykle dodawany do klasycznego ratatouille?;Brokuły;Bakłażan;Cukinia;Papryka;
Jaki smak ma Licor 43?;Waniliowy;Czekoladowy;Ziemniaczany;Agrestowy;
Kasza jaglana jest uzyskiwana z:;Prosa;Kuskusu;Kukurydzy;Jęczmienia;
Który sos pochodzi z Meksyku?;Mole;Z zielonego pieprzu;Aioli;Teriyaki;
Który z poniższych nie należy do serii Absolut Vodka?;Sour Apple;Pepper;Berri Acai;Ruby Red;
Pieprz turecki to inaczej:;Papryka;Szafran;Majeranek;Gorczyca;
Po kim został nazwany filet z cielęciny Oscar?;Król Oscar II;Cielę Oscar;Karl-Oskar z "Emigrantów";Szef kuchni Oscar Adolfsson;
Psianka podłużna to:;Bakłażan;Kawiat;Ogórecznik;Grzyb;
Red Savina to odmiana:;Papryczki;Koniaku;Sera;Wina;
Rosyjski chłodnik przyrządzany na kwasie chlebowym to:;Okroszka;Ucha;Bozbasz;Gramatka;
W której potrawie jest mak?;Kutia;Szarlotka;Pierogi ruskie;Paella;
Z której części zwierzęcia pochodzi antrykot?;Grzbietu;Kończyny;Brzucha;Szyi;
