Celiaklia jest chorob¹:;Przewodu pokarmowego;Uk³adu moczowo-p³ciowego;Serca;Uk³adu oddechowego;
Chorobami uk³adu nerwowego zajmuje siê:;Neurolog;Psychiatra;Nefrolog;Psycholog;
Co nie jest prawd¹ o bakteriach?;Wszystike maj¹ ten sam kszta³t;Jednokomórkowce;Maj¹ ró¿ne wielkoœci;Mikroorganizmy;
Czego siê boisz, jeœli masz agorafobiê?;Otwartych przestrzeni;No¿y;Zas³abniêcia;Tajnego pods³uchu;
Do której tkanki nale¿¹ najd³u¿sze komórki organizmu?;Nerwowej;Miêœniowej;Kostnej;£¹cznej;
Gdzie mo¿na znaleŸæ m³oteczek?;W uchu;W d³oni;W stopach;U podstawy czaszki;
Jak inaczej nazwaæ chorobê zwan¹ z jêzyka greckiego: “miopia”?;Krótkowzrocznoœæ;Niedro¿noœæ nosa;Niewydolnoœæ serca;Zaburzenia czynnoœci p³uc;
Jak nazywa siê epidemia choroby zakaŸnej, która rozprzestrzenia siê w du¿ych czêœciach œwiata i wp³ywa na znaczn¹ czêœæ populacji w ka¿dym kraju?;Pandemia;Akademia;Anemia;Epidemia Maximus;
Jak nazywa siê obsesja na punkcie bycia umiêœnionym?;Bigoreksja;Miastenia;Fibromialgia;Keratynokinaza;
Jak nazywaj¹ siê mêskie hormony?;Androgeny;Maskugeny;Manogeny;Testogeny;
Komórki kubkowe mog¹ wystêpowaæ w:;Jelicie cienkim;Mózgu;Sercu;W¹trobie;
Która czêœæ serca pompuje krew do cia³a?;Lewa komora;Prawy przedsionek;Zastawki;Prawa komora;
Nozdrza tylne rozdzielone s¹:;Lemieszem;Koœci¹;Przegrod¹;Chrz¹stk¹;
Po czym wystêpuje zespó³ Sheehana?;Po porodzie;Po zawale miêœnia sercowego;Po przejedzeniu;Po wysi³ku fizycznym;
Szkarlatyna to inaczej:;Plonica;Pelagra;Ebola;Grypa;
Zapalenie opon mózgowo-rdzeniowych wystêpuje czêœciej u dzieci ni¿ u doros³ych i przewa¿nie dotyczy dzieci w wieku:;Od 2 miesiêcy do 5 lat;Od 10 lat do 13 lat;Od 5 lat do 10 lat;Od 6 miesiêcy do 3 lat;
